Cement Mill 2 weigh feeder operation & Quality data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,Otcheteni dobavki,,,,,,,,,,,Alp,XRF,,PSD,,,XRD,,,,,,Prod.data,,562-BM1_Silo_LST?,Zadadeni dobavki,,,,,,Sum add
Data & Time,Data & Time,Cement Type,clinker  silo 3, clinker  silo 4,532-WF3Gypsum,532-WF4Varovik,532-WF5varovik,By pass dust,FeSO4,Fly ash,Obshto dob,Proizvodstvo,R45,SO3,Cl,Blaine,R>32,5-32,R_wp,Gyp,Hemihyd,Anhyd,Freelime,Calcite,Grinding aid,Rab.vreme,Cement Silo,gips,slag,Fly ash,T+V,dust,FeSO4 (Mapei),Obshto zadadeni dob
,,-,%,%,%,%,%,%,%,%,%,t,%,%,%,cm2/g,%,%,%,%,%,%,%,%,g/t,h,#,%,%,%,%,%,% (L), 
28.02.2026 00:00,28.02.2026 01:00,CEM II / B-V 52.5 N,50.0,50.0,3.21,0.00,3.29,1.38,0.00,28.59,36.47,56.50,,,,,,,,,,,,,463.42,1.00,18,3.30,,28.60,3.30,1.40,,36.60
28.02.2026 01:00,28.02.2026 02:00,CEM II / B-V 52.5 N,50.0,50.0,3.30,0.00,3.27,1.40,0.00,28.55,36.52,56.61,1.00,3.12,0.0890,,,,0.00,1.76,,2.14,,6.53,466.32,1.00,18,3.30,,28.60,3.30,1.40,,36.60
28.02.2026 02:00,28.02.2026 03:00,CEM II / B-V 52.5 N,50.0,50.0,3.12,0.00,3.33,1.40,0.00,28.71,36.56,56.52,,3.20,0.0910,,,,,,,,,,470.41,1.00,18,3.10,,28.60,3.30,1.40,,36.40
28.02.2026 03:00,28.02.2026 04:00,CEM II / B-V 52.5 N,50.0,50.0,2.91,0.00,3.25,1.40,0.00,28.66,36.22,56.77,,3.12,0.0920,,,,0.00,1.53,,2.24,,6.68,445.48,1.00,18,2.90,,28.60,3.30,1.40,,36.20
28.02.2026 04:00,28.02.2026 05:00,CEM II / B-V 52.5 N,50.0,50.0,2.72,0.00,3.37,1.31,0.00,28.59,35.99,57.12,,2.99,0.0880,,,,,,,,,,474.43,1.00,18,2.70,,28.60,3.40,1.30,,36.00
28.02.2026 05:00,28.02.2026 06:00,CEM II / B-V 52.5 N,50.1,49.9,2.70,0.00,3.40,1.30,0.00,28.63,36.03,57.18,,3.04,0.0870,,,,0.00,1.26,,2.14,,7.02,466.81,1.00,18,2.70,,28.60,3.40,1.30,,36.00
28.02.2026 06:00,28.02.2026 07:00,CEM II / B-V 52.5 N,49.8,50.2,2.70,0.00,3.42,1.30,0.00,28.49,35.90,57.33,,,,,,,,,,,,,473.97,1.00,18,,,,,,, 
28.02.2026 07:00,28.02.2026 08:00,CEM II / B-V 52.5 N,49.8,50.2,2.69,0.00,3.41,1.30,0.00,28.60,36.00,57.18,,2.87,0.0840,,,,0.00,1.14,,1.93,,6.48,459.33,1.00,18,2.70,,28.60,3.40,1.30,,36.00
28.02.2026 08:00,28.02.2026 09:00,CEM II / B-V 52.5 N,50.0,50.0,2.88,0.00,3.42,1.30,0.00,28.62,36.22,57.16,,,,,,,,,,,,,468.63,1.00,18,2.90,,28.60,3.40,1.30,,36.20
28.02.2026 09:00,28.02.2026 10:00,CEM II / B-V 52.5 N,50.0,50.0,2.90,0.00,3.42,1.30,0.00,28.48,36.10,57.65,1.10,2.86,0.0850,,,,0.00,1.35,,1.82,,6.72,473.89,1.00,18,2.90,,28.60,3.40,1.30,,36.20
28.02.2026 10:00,28.02.2026 11:00,CEM II / B-V 52.5 N,50.0,50.0,3.07,0.00,3.40,1.30,0.00,28.60,36.36,58.01,,2.85,0.0850,,,,,,,,,,467.63,1.00,18,3.10,,28.60,3.40,1.30,,36.40
28.02.2026 11:00,28.02.2026 12:00,CEM II / B-V 52.5 N,49.9,50.1,3.29,0.00,3.44,1.30,0.00,28.55,36.58,58.10,,2.97,0.0860,,,,0.00,1.74,,1.70,,6.27,466.40,1.00,18,3.30,,28.60,3.40,1.30,,36.60
28.02.2026 12:00,28.02.2026 13:00,CEM II / B-V 52.5 N,49.8,50.2,3.31,0.00,3.37,1.30,0.00,28.57,36.55,58.05,,,,,,,,,,,,,467.43,1.00,18,,,,,,, 
28.02.2026 13:00,28.02.2026 14:00,CEM II / B-V 52.5 N,50.0,50.0,3.31,0.00,3.44,1.30,0.00,28.66,36.72,57.86,,3.00,0.0850,,,,,,,,,,476.82,1.00,18,3.30,,28.60,3.40,1.30,,36.60
 
Avg,,,50.0,50.0,3.01,0.00,3.37,1.33,0.00,28.59,36.30,57.29,1.05,3.00,0.0872,,,,0.00,1.46,,2.00,,6.62,467.21,1.00,,3.02,,28.60,3.37,1.33,,36.32

Records found:  16  Total:  357143.37 h,,,,,,,,
,Stopdate,Type,Equipment,Description,Duration [h],Major cause,Cause detail,Cause detail 2
,27.02.2026 14:02:00,S,600+HOUR+DISP,Packing Plant run signal,24.00,,, 
,25.02.2026 08:53:00,S,Rail WB1 Level Mode_RHR,Weight bridge rail  in level mode,71.93,,, 
,14.02.2026 04:06:00,S,402+HOUR+CLINKE,462-KL1 running_PACT,345.94,,, 
,14.02.2026 04:06:00,S,BE.402+HOUR+CLINKE,3PM_462-KL1 running,345.94,,, 
,14.02.2026 02:26:00,S,V03+HOUR+SRF,SRF inst. works,347.60,,, 
,14.02.2026 00:36:00,S,V04+HOUR+SRFMB,SRF2 feed to MB run,349.44,,, 
,13.02.2026 04:45:00,S,362+HOUR+RAMEAL,Group 300 running conditions_PACT,369.29,Mechanical,, 
Teared bucket elevator chain 
,13.02.2026 04:45:00,S,BE.362+HOUR+RAMEAL?,3PM_Group 300 running conditions_PACT,369.29,,, 
,12.02.2026 01:50:00,S,L01+HOUR+COALCO,Coal Mill Running Time,396.20,Idle Time,, 
 Lack of Demand
,01.02.2026 16:53:00,S,V02+HOUR+ANIREM,Running hours logs of Animal Meal installation,645.15,,, 
,28.01.2026 09:32:00,S,WB1 Level Mode_RHR,Weight bridge1 in level mode,748.50,,, 
,17.01.2026 16:18:00,S,WB2 Level Mode_RHR,Weight bridge2 in level mode,1005.74,,, 
,19.06.2025 21:54:00,S,V01+HOUR+TYRE,Running hour log for tyres installation,6089.14,Idle Time,, 
Lack of Demand
,05.12.2019 08:03:00,S,BE.501+HOUR+CEM?,3PM_561-BM1 working hours,54653.99,,, 
,17.07.2009 04:26:00,S,AF_Prog/TIS.V03_1_WORK_RHR,SRF shreding line works,145690.60,,, 
,17.07.2009 04:26:00,S,V03-SH2_LOADED,V03-SH2_LOADED,145690.60,,, 


